Offense Validation CD,Offense Code,Offense Txn Type CD,Offense Statute,Offense Type of Statute CD,Statute Literal 25,Offense Default Type of Charge,Offense Type of Charge,Offense Literal Identifier CD,Offense Degree,BCS Hierarchy CD,Offense Enacted,Offense Repealed,ALPS Cognizant CD
1,31197,1,1789.37(G)(2),CI,CHECK CASH BUS NO PERM:PR,,M,,,176920,19980101,,*
1,31305,1,1798.90.1(A)(1),CI,SCAN/SWIPE ID CARD UNAUTH,,M,,,99700,20190101,,*
1,31271,1,1800(A),IC,OPERATE W/O BAIL LICENSE,,F,,,68010,19380101,,*
1,26299,1,1800.7,IC,FURN BAIL BOND:PAY/ETC,,F,,,68010,19630920,,*
1,26301,1,1800.75,IC,ADV BAIL BOND BUS W/O LIC,,F,,,68012,19630920,,*
1,48097,1,1808.4(D),VC,GIV DMV REC:PO/ETC AD:INJ,,F,,,40620,19950101,,*
1,50160,1,1808.45,VC,UNAUTH DISCLOSUR DMV INFO,,M,,,101130,19900101,,*
1,50175,1,1822.57,CP,REFUSE WARNT ISSUED INSPC,,M,,,14100,19680101,,*
1,31099,1,1823,FC,TRANSMISS MONEY ABRD VIOL,,F,,,46130,19900101,,*
1,26323,1,1871.4(A)(1),IC,MAKE FALSE WRK COMP CLAIM,*,F,,,14715,19920101,,*
1,26625,1,1871.4(A)(1),IC,MAKE FALSE WRK COMP CLAIM,,M,,,91720,19920101,,*
1,26302,1,1871.4(A)(2),IC,FALSE DOCS F/COMPENSATION,,F,,,14715,19920101,,*
1,26381,1,1871.4(A)(3),IC,ASIST/ETC:UNLAW INS CLAIM,,F,,,14715,19930101,,*
1,31125,1,1871.4(A)(4),IC,FALSLY DISCRGE BENE CLAIM,,F,,,14715,19920101,,*
1,21020,1,1916.3(B),CI,LOAN SHARKING,,F,,,4050,18000101,,*
1,21021,1,1916.3(B),CI,LOAN SHARKING,*,M,,,93200,18000101,,*
4,50141,1,1993,CP,WARRANT:ABSENT WITNESS,,X,,,,18720101,,*
1,62013,1,2000,FG,UNLAWFULLY TAKE BIRD/ETC,,M,,,168100,19730307,,*
1,62192,1,2001(A),FG,POSS WILDLIFE ILLEGALLY,,M,,,168100,19980918,,*
1,62006,1,2002,FG,POSS CREATURE ILLEGALLY,,M,,,168100,19570911,,*
1,62008,1,2005,FG,HUNT W/ARTIFICIAL LIGHT,,M,,,168100,19570911,,*
1,62007,1,2006,FG,LOADED RIFLE IN VEH,,M,,,168100,19570911,,*
1,62022,1,2010,FG,UNLAWFUL SHOTGUN:HUNTING,,M,,,168100,19570911,,*
1,62049,1,2012,FG,FAIL SHO GAME LIC/ETC:DEM,,M,,,168100,19570911,,*
1,62019,1,2016,FG,UNAUTH HUNT:POSTED LAND,,M,,,168100,19671108,,*
1,62136,1,2017,FG,UNLAW HUNT ON PRIV PROP,,M,,,168100,19671108,,*
1,49068,1,2042,PC,MINOR ATT ESC/ESC FAC:DVI,,F,,,64700,19830101,,*
1,49100,1,2042,PC,MINOR ESCAPE/ATTEMPT DVI,*,M,,,95000,19830101,,*
1,26157,1,2052,BP,PRACT MEDICINE W/O CERT,,M,,,145800,19810101,,*
1,26576,1,2052(A),BP,PRACTICE MED/ETC W/O CERT,*,M,,,99700,19810101,,*
1,26577,1,2052(A),BP,PRACT MEDICINE W/O CERT,,F,,,67600,19810101,,*
1,55086,1,2053,BP,UNAUTH MEDICAL PRACTICE,,F,,,67600,19810101,,*
1,26297,1,2054,BP,ADV AS DR W/O VALID CERT,,M,,,147892,19810101,,*
1,26226,1,2101(A)(1),UI,FALSE STATMNT/ETC:BENEFIT,,F,,,56000,19870101,,*
1,26284,1,2102(A),UI,FALS RPT/ETC:BENES O-O-ST,,F,,,56100,19870101,,*
1,31101,1,2106,UI,FAIL TO FURNISH REPORT,,F,,,73410,19870101,,*
1,26199,1,2107,UI,WITHHOLD INFO OBTAIN BENE,,F,,,56200,19870101,,*
1,31102,1,2108,UI,FAIL TO PAY CONTRIBUTIONS,,F,,,56315,19870101,,*
1,31107,1,2109,UI,EXEC OFF/ETC FAIL RPT/ETC,,F,,,56316,19870101,,*
1,26208,1,2110,UI,FAIL PAY DEDUCT WITHHELD,,F,,,55700,19870101,,*
1,26209,1,2110.5,UI,FAIL WITHHOLD DEDUCTIONS,,F,,,55800,19870101,,*
1,26207,1,2114,UI,REP/ETC FAKE EMPLOYER/ETC,,F,,,56300,19870101,,*
1,26364,1,2116(A),UI,FALSE CERT MED COND:BENES,,F,,,52100,19940928,,*
1,26593,1,2116(B),UI,FRAUD STATMNT:BENES CLAIM,,F,,,52100,19940928,,*
1,26368,1,2117,UI,FAIL TO FILE RETURN/ETC,,M,,,92101,19870101,,*
1,26337,1,2117.5,UI,FRAUD:UNFILED TAX RET/ETC,,F,TAX,,73300,19950101,,*
1,26349,1,2118,UI,FAIL TO WITHHOLD/PAY TAX,,M,,,92100,19870101,,*
1,62010,1,2118,FG,IMP/ETC WILD ANML:NO PERM,,M,,,168100,19570911,,*
1,62036,1,2118(B),FG,IMP/ETC MAMMAL W/O PERMIT,,M,,,168100,19610915,,*
1,26212,1,2118.5,UI,FAIL TO COLLECT/PAY TAX,,F,,,73400,19870101,,*
1,26273,1,2121,UI,AID/ETC PREP/ETC FAKE DOC,,F,,,56318,19870101,,*
1,31297,1,2152(B),FC,ENGAGE ACTVTY W/O LICENSE,,F,,,73500,20130101,,*
1,35245,1,2241,BP,FURNISH DRUGS TO ADDICT,,M,,,82600,19810101,,*
1,35313,1,2242.1(A),BP,PRESC DANG DRUG:INTERNET,,M,,,85420,20010101,,*
1,26377,1,2255(B),CC,ALT/ETC CORP BK/ETC:DEFRD,,F,,,52105,19770101,,*
2,44054,1,2261,VC,IMPERSONATE CHP OFFICER,N,I,,,176100,19690101,,*
1,62180,1,2300(A),FG,UNLAWFUL POSSESS CAULERPA,,M,,,168100,20010925,,*
1,62026,1,2353(A),FG,UNDCLRD W/LIFE IMPORT/ETC,,M,,,168100,19900101,,*
1,54118,1,2416(C),VC,VIOL EMERGE VEH PERMT REG,,M,,,173300,19620101,,*
1,54621,1,2470,VC,TRANSPORT KITCHEN GREASE,,M,,,99300,19980824,,*
1,54622,1,2474,VC,STEAL/ETC KITCHEN GREASE,,M,,,99300,19980824,,*
2,54680,1,2476,VC,POSS OF INEDIBLE KTCH GRS,,I,,,173300,20190101,,*
1,62042,1,2536(A),FG,ACT/ETC:FG GUIDE W/O LIC,,M,,,168100,19870101,,*
1,31285,1,2556,BP,UNLAW SRVS/OPTOMTRY TRTMT,,M,,,88600,19790101,,*
4,66117,1,2620,PC,PROCEEDINGS:PRISONER PROD,,X,,,,19691110,,*
4,66118,1,2621,PC,PRISONER:MATERIAL WITNESS,,X,,,,19691110,,*
2,56012,1,2652,PC,MISTREATMENT OF PRISONERS,,M,,,103100,19410913,20201108,*
1,56041,1,2652.5,PC,CHAIN/RESTRNT PRISNR NECK,,M,,,103100,19770101,,*
1,26141,1,2762(E),BP,FALSIFY DRUG RECORD,,M,,,89000,19570911,,*
1,48020,1,2772,PC,INTRFR WORK/DISCP:PRISNER,*,M,,,161600,19410913,,*
2,48075,1,2772,PC,INTRF/FRNSH DRUG/ETC:PRIS,,F,IWP,,33800,19410913,20201104,*
1,48021,1,2790,PC,INTRFR W/WRK/DISCPLIN:CON,*,M,,,161700,19410913,,*
2,48076,1,2790,PC,INTRFR/FRNSH DRUG/ETC:CON,,F,IWC,,33900,19410913,20201104,*
1,55183,1,2795(A),BP,PRACTICE NURSING W/O LIC,,M,,,88600,19910101,,*
1,55165,1,2795(B),BP,USE NURS TITLE/ETC:NO LIC,,M,,,88600,19910101,,*
1,55084,1,2796,BP,PROFESSIONAL PRACTICE VIO,,M,,,88500,19390919,,*
2,48104,1,2800,VC,FAIL OBEY PO:INSPECTN ORD,,M,,,172900,19590918,,*
1,48135,1,2800(A),VC,FAIL OBEY PO:LAWFUL ORDER,,M,,,162000,19590101,,*
1,48102,1,2800.1(A),VC,EVADING PEACE OFFICER,,M,,,89500,19960101,,*
1,48144,1,2800.1(B),VC,INTENT EVADE PO BICYCLE,,M,,,89500,19960101,,*
2,48083,1,2800.2,VC,EVADING PO:DISREGARD SFTY,,F,EVD,,63300,19880821,,*
1,48101,1,2800.2(A),VC,EVADE PO:DISREGARD SAFETY,,F,,,63300,19970101,,*
1,48128,1,2800.2(A),VC,DISREGARD SAFETY:EVADE PO,*,M,,,81600,19970101,,*
1,48081,1,2800.3,VC,EVADE PO:CAUSE SBI/DEATH,,F,,,22600,19880822,,*
1,48139,1,2800.4,VC,EVADE PO:WRONG WAY DRIVER,,F,,,63300,20070101,,*
1,48140,1,2800.4,VC,EVADE PO:WRONG WAY DRIVER,*,M,,,81600,20070101,,*
1,48105,1,2801,VC,FAIL OBEY FIRE DEPT PERSN,,M,,,173200,19590918,,*
1,54119,1,2803(A),VC,VIOL LOAD/PERMIT REGS,,M,,,173300,19780101,,*
1,31174,1,2812,PC,ILL SEL/ETC PRISN MFG ITM,,M,,,154100,19830101,,*
1,54120,1,2813,VC,FAIL STOP:COMRCL VEH INSP,,M,,,173300,19590918,,*
2,54381,1,2815,VC,FAIL OBEY SCH XING GUARD,N,I,,,173300,19840405,,*
2,54329,1,2818,VC,CROSS FLARE/CONE PATTERN,N,I,,,173300,19890101,20081231,*
2,54569,1,2818,VC,ELE BEACON/CONE PATTERN,N,I,,,173300,20090101,,*
1,35238,1,2878.5(A),BP,DOCTOR USE CNTL SUB,,M,,,89100,19850101,,*
1,44042,1,2885,BP,IMPERSONATE L.V.N.,,M,,,88900,19510922,,*
2,36287,1,288A(C)(2)(A),PC,ORAL COP:USE FORCE/INJURY,,F,,,5600,20100910,20181231,*
2,36291,1,288A(J),PC,ORL COP:VIC KNOWS PERSON,,F,,,5700,20130909,20181231,*
1,55080,1,2903,BP,PRACTICE PSYCHOLGY:NO LIC,,M,,,147900,19671108,,*
1,55081,1,2913,BP,PSYCHOLOGICAL ASSIST VIOL,,M,,,148000,19671108,,*
1,26544,1,2945.4(A),CI,FORECLOSURE FRAUD,,F,,,49500,19980101,,*
1,26616,1,2945.4(A),CI,FORECLOSURE FRAUD,*,M,,,91720,19980101,,*
1,31201,1,2945.4(G),CI,FORCLOSER INDUCE CONTRACT,,F,,,49500,19800711,,*
1,31202,1,2945.4(G),CI,FORECLOSE:INDUCE CONTRACT,*,M,,,92500,19800711,,*
1,62100,1,3000,FG,HUNTING:BIRD/ETC AT NIGHT,,M,,,168100,19570911,,*
4,50181,1,3000.08,PC,VIOLATION OF PAROLE,,X,VIO,,,20130701,,*
4,50182,1,3000.08,PC,FLASH INCARCERATION,,X,FLS,,,20130701,,*
1,62182,1,3001,FG,HUNTING WHILE INTOXICATED,,M,,,168100,19570101,,*
1,49041,1,3002,WI,ESC:NARCOTIC COMMITMENT,,F,,,32515,19650917,,*
1,62038,1,3002,FG,SHOOT BIRD/MAMAL:VEH/ETC,,M,,,168100,19580101,,*
2,36293,1,3003.6,PC,SEX OFN WRK CHLD FACILITY,,M,,,109500,20140101,20201112,*
1,36327,1,3003.6(A)(2),PC,SEX OFR WORK W/JUV WARD,,M,,,109500,20140101,,*
1,62011,1,3004,FG,DISCHRG DEAD WPN/HNT BLDG,,M,,,168100,19570911,,*
1,62068,1,3005.5,FG,CAPTURE/ETC SPEC WILDLIFE,,M,,,168100,19840101,,*
1,62034,1,3007,FG,TAKE BIRD/ETC W/O LICENSE,,M,,,168100,19570911,,*
1,9050,1,3009,FG,KILL/INJ PERSON W/HUNTING,,F,,,70000,19610915,,*
1,36292,1,3010.10(A),PC,SEX REG REMOV GPS MONITOR,,M,,,168700,20140101,,*
1,62046,1,3039(A),FG,HUNT:SALE/ETC CA BIRD/ETC,,M,,,168100,19930101,,*
1,31208,1,3040,BP,PRACTICE OPTOMETRY:NO REG,,M,,,99700,19780101,,*
1,50075,1,3056,PC,VIOLATION OF PAROLE:FEL,,F,,,178200,19410913,,*
4,50139,1,3060,PC,SUSPEND/REVOKE PAROLE,,X,,,,19920915,,*
1,26567,1,3070(B),CI,OBT POSS VEH/ETC:FRAUD/ET,,M,,,174515,19810101,,*
4,50138,1,3081,PC,PAROLE VIOLATION/REARREST,,X,,,,19790101,,*
1,62158,1,3087(A)(1),FG,TAXIDERMIST:FAIL KEEP REC,,M,,,168100,19900101,,*
1,26550,1,3126,BP,FALSE DATA:OPTOMETRY CERT,,M,,,88600,19630920,,*
1,31140,1,3215,LC,OFR/ETC REF:CLIENT REFERL,,F,,,55620,19920101,,*
1,26278,1,3352,FC,BANK EMP/ETC OMIT ENTRIES,,F,,,25915,19510922,,*
1,27052,1,3361,FC,MISAPPLY BANK ASSETS,,F,,,25912,19510922,,*
4,50178,1,3454,PC,PRCS:FLASH INCARCERATION,,X,,,,20111001,,*
4,50176,1,3455,PC,PRCS VIOLATION,,X,,,,20111001,,*
2,62103,1,3503.5,FG,BIRD-PREY/EGG/ETC:POS/ETC,,M,,,101150,19860101,,*
1,62044,1,3504,FG,SELL/ETC DOMEST GAME BIRD,,M,,,168100,19780101,,*
2,62096,1,3511,FG,PROTECTD BIRD/ETC NO PERM,,M,,,101010,19710101,,*
1,62202,1,3513(A),FG,POSS MIGRATORY NONGM BIRD,,M,,,168100,20200101,,*
1,27055,1,3531,FC,MISAPP/ETC OF CORP ASSETS,,F,,,17000,19510922,,*
1,31237,1,3550(A),LC,EMPLR FAIL POST NTC INSUR,,M,,,168200,19840101,,*
2,4044,1,36 1.5(F),US,FED REG:VIOLATE A CLOSURE,N,M,,,179200,19830630,,*
2,4018,1,36 2.1(A)(6),US,FR:POSS/ETC:ARCH RESOURCE,N,M,,,179200,19830630,,*
1,62154,1,36 2.10(B)(10),US,FR:CAMP O/SIDE DES AREA,N,M,,,179200,18000101,,*
1,62162,1,36 2.10(B)(2),US,FR:LV EQUIP/REFUSE SITE,N,M,,,179200,18000101,,*
1,62163,1,36 2.10(B)(8),US,FED REG:FAIL OBT CMP PERM,N,M,,,179200,18000101,,*
2,4071,1,36 2.12(A)(1),US,FR:UNREASONABLE NOISE,N,M,,,179200,18000101,,*
1,62155,1,36 2.13(A)(1),US,FR:FIRE UNDESIGNATED AREA,N,M,,,179200,19830630,,*
2,4034,1,36 2.14(A)(1),US,FR:IMPROP DISPOSL/REFUSE,N,M,,,179200,18000101,,*
2,4035,1,36 2.14(A)(8),US,FR:IMPROP DISPL/HUMAN WST,N,M,,,179200,18000101,,*
1,4058,1,36 2.17(A)(3),US,FR:DEL/RETRIEVE BY AIR,N,M,,,179200,18000101,,*
2,62170,1,36 2.2(A)(3),US,FED REG:POSSESS WILDLIFE,N,M,,,179200,19830630,,*
1,4052,1,36 2.22(A)(3),US,FR:FAIL TURN IN FND PROP,N,M,,,179200,19830630,,*
2,4061,1,36 2.23(B),US,FR:NON PAYMENT OF FEES,N,M,,,179200,18000101,,*
2,27065,1,36 2.30,US,FR:NONPAYMENT FOR SERVICE,N,M,,,179200,19830630,,*
2,27056,1,36 2.30(A)(1),US,FEDERAL REGULATION:THEFT,N,M,,,179200,19870918,,*
2,4020,1,36 2.30(A)(3),US,FR:OBT PROP/ETC BY FRAUD,N,M,,,179200,19830630,,*
2,23164,1,36 2.30(A)(4),US,FED REG:THEFT:SHOPLIFTING,N,M,,,179200,19870918,,*
2,4021,1,36 2.30(A)(5),US,FR:POSS KNOW STOLEN PROP,N,M,,,179200,19830630,,*
2,4022,1,36 2.31(A)(1),US,FR:TRESP:ENTER/ETC PROP,N,M,,,179200,19830630,,*
2,4045,1,36 2.31(A)(2),US,FR:TAMPER WITH PROPERTY,N,M,,,179200,19830630,,*
2,4031,1,36 2.31(A)(3),US,FR:VANDLSM DESTROY PROP,N,M,,,179200,19830630,,*
2,66082,1,36 2.32(A)(1),US,FR:MEDDLE/ETC:GOV AGT/ETC,N,M,,,179200,19830630,,*
2,4023,1,36 2.32(A)(2),US,FR:VIOLATE LAWFUL ORDER,N,M,,,179200,19830630,,*
2,4024,1,36 2.32(A)(3)(I),US,FR:FALSE INFO/AUTH PERSON,N,M,,,179200,19830630,,*
2,53111,1,36 2.34(A)(1),US,FR:DIS CONDUCT:FIGHT/ETC,N,M,,,179200,18000101,,*
2,53141,1,36 2.34(A)(2),US,FR:DIS CONDUCT:OBSCN LANG,N,M,,,179200,19830630,,*
1,53140,1,36 2.34(A)(4),US,FR:CREATE HAZARDOUS COND,N,M,,,179200,19830630,,*
1,41066,1,36 2.35(A)(2)(II),US,FR:POSS ALCOHOL UNDER 21,N,M,,,179200,19830630,,*
1,4047,1,36 2.35(A)(3)(III),US,FR:VIOLATION OF A CLOSURE,N,M,,,179200,19830630,,*
2,35391,1,36 2.35(B)(2),US,FR:POSS CNTL SUBS:PARKS,N,M,,,179200,19830630,,*
2,35301,1,36 2.35(C),US,FR:UI ALC/CNTL SUB:PARK,N,M,,,179200,18000101,,*
2,4038,1,36 2.4(A)(1)(I),US,FR:POSS WPN/TRAP/NET,N,M,,,179200,19830630,,*
2,4041,1,36 2.4(A)(1)(III),US,FR:USE WPN/TRAP/NET,N,M,,,179200,19830630,,*
2,4019,1,36 2.4(F),US,FR:POSS/ETC WPN/TRAP/ETC,N,M,,,179200,19830630,,*
2,4036,1,36 2.61(A),US,FR:RESIDING ON FED LAND,N,M,,,179200,18000101,,*
2,4025,1,36 3.6(B),US,FR:OPR VESSEL:UND INF D/A,N,M,,,179200,19830630,,*
2,4068,1,36 4.10(A),US,FR:OPR VEH PROHIBITD AREA,N,M,,,179200,18000101,,*
2,4032,1,36 4.12,US,FR:TRAFFIC CNTL DEVCE VIO,N,M,,,179200,18000101,,*
2,4033,1,36 4.14(B),US,FR:O/CONTAINER ALC IN MV,N,M,,,179200,18000101,,*
2,54576,1,36 4.15(A),US,FR:FAIL WEAR SEAT BEAT,N,M,,,179200,19971119,,*
1,4042,1,36 4.21(C),US,FR:OPR VEH EXCESS SPEED,N,M,,,179200,19830630,,*
2,4049,1,36 4.22(B)(1),US,FR:DRIVE WITHOUT DUE CARE,N,M,,,179200,19830630,,*
1,4037,1,36 4.22(B)(3),US,FR:UNSAFE CNTL MOTOR VEH,N,M,,,179200,19830630,,*
1,4053,1,36 4.22(B)(4)(2),US,FR:PASSENGER IN BED TRUCK,N,M,,,179200,19830630,,*
2,4026,1,36 4.23(A)(1),US,FR:OPR VEHICLE UNDER INF,N,M,,,179200,19830630,,*
2,4027,1,36 4.23(A)(2),US,FR:DUI:BLOOD/ETC ALC.08,N,M,,,179200,19830630,,*
2,4028,1,36 4.23(C)(2),US,FR:DUI:REFUSE TEST,N,M,,,179200,19830630,,*
1,4043,1,36 4.30(D)(2),US,FR:OPR BIKE W/OUT LIGHT,N,M,,,179200,19830630,,*
1,4051,1,36 4.30(D)(4),US,FR:OPR BIKE UND INF ALC,N,M,,,179200,19830630,,*
2,54596,1,36 4.4(B),US,FR:TOW/MOVE VEH:FAIL REPT,N,M,,,179200,18000101,,*
2,4029,1,36 5.14,US,FR:UNLAWFUL PROSPECTING,N,M,,,179200,19830630,,*
2,4072,1,36 5.6(B),US,FR:COMMERC VEH PROHIBITED,N,M,,,179200,18000101,,*
2,66083,1,36 7.16(C),US,FR:ILUSE POWERLESS FLIGHT,N,M,,,179200,19860701,,*
1,62193,1,3682(A),FG,TAK UPLAND BIRD W/O STAMP,,M,,,168100,20020101,,*
1,62150,1,3700(A),FG,NO STATE DUCK STAMP,,M,,,168100,20010101,,*
1,31059,1,3700.5,LC,FAIL SECURE COMP PAYMENT,,M,,,168200,19820101,,*
1,31061,1,3710.2,LC,FAIL OBSERVE STOP ORDER,,M,,,171500,19760920,,*
2,62115,1,3800,FG,TK NONGAME BIRD:W/EXCPTNS,,M,,,168100,19570911,,*
1,62063,1,3801,FG,TAKE/POS NONGAME BIRD:HRS,,M,,,168100,19750101,,*
1,62031,1,3801.6,FG,POSS SKIN OF NONGAME BIRD,,M,,,168100,19780101,,*
2,54099,1,4000(A),VC,NO REG:VEH/TRAILER/ETC,N,I,,,173300,19590918,,*
2,54657,1,4000(A)(1),VC,NO REG:VEH/TRAILER/ETC,N,I,,,173300,20000101,,*
2,54359,1,4000.1,VC,REG/ETC:SMOG CERTS VIOL,N,I,,,173300,19830101,,*
2,54412,1,4000.2,VC,O-O-S VEH:NO REG/SMOG CRT,N,I,,,173300,19900101,,*
2,54473,1,4000.4(A),VC,UNREG CA BASED VEHICLE,N,I,,,173300,19890101,,*
2,54666,1,4000.6,VC,UNREG COMM MTR VEH 10000+,,I,,,173300,20190101,,*
1,62200,1,4001,FG,TRAP FUR MAMMAL REC/COMRC,,M,,,168100,20200101,,*
1,62201,1,4004,FG,UNLAWFUL TRAPPING,,M,,,168100,20200101,,*
2,54172,1,4004(A),VC,FOREIGN COM VEH:NO PERMIT,N,I,,,173300,19840101,,*
1,49009,1,4011.7,PC,ESCAPE:HOSPITAL PRISONER,*,M,,,94900,19681113,,*
2,49058,1,4011.7,PC,PRSNR ESC HOSP W/VIOL/ETC,,F,,,61700,19681113,20201124,*
1,50095,1,4024.2(C),PC,WORK RELEASE PROGRAM VIOL,,M,,,167190,19900619,,*
1,56042,1,4030(M),PC,BOD CAVITY/ETC SEARCH VIO,,M,,,168200,19850101,,*
1,57036,1,4030(N),PC,BOD CAVITY/ETC SEARCH VIO,,M,,,168200,19840331,,*
1,57058,1,4031,PC,MINOR;BODY CVTY SRCH VIOL,,M,,,168200,20160101,,*
1,56043,1,4031(F),PC,MNR BODY CAVITY SRCH VIOL,,M,,,168200,20160101,,*
1,35355,1,4051,BP,UNREG MFG/ETC PRESC/ETC,,M,,,84700,19970101,,*
1,35361,1,4059(A),BP,GIV DANG DRUG/ETC:NO PRSC,,M,,,85410,19970101,,*
1,35363,1,4060,BP,POS CNTL SUB:W/O PRESCRIP,*,M,,,85415,19970101,,*
1,35396,1,4060,BP,POSS CONTL SUB:W/O PRESCP,,F,,,58000,19970101,,*
1,35362,1,4063,BP,UNAUTH RFIL DANG DRUG/ETC,,M,,,85422,19970101,,*
1,35416,1,4077(A),BP,RX W/O LABEL ON CONTAINER,,M,,,85415,19970101,,*
1,31238,1,4110(A),BP,UNLICENSED PHARMACY,,M,,,85420,19970101,,*
2,13056,1,4131.5,PC,BATTERY NONINMATE BY INMT,,F,,,38400,19770101,20151231,*
1,50179,1,4139,WI,DELVR PROHIB ITEM:PATIENT,,M,,,151800,20120101,,*
2,35358,1,4140,BP,POS/ETC HYPO NEEDL/SYRNGE,,M,NDL,,85300,19970101,20120101,*
1,35356,1,4141,BP,UNLIC SELL/ETC NEEDL/ETC,,M,,,85100,19970101,,*
2,35357,1,4142,BP,SEL HYPO/SYRINGE NO PRESC,,M,,,85200,19970101,20201231,*
1,55282,1,4148,BP,CONFISCT NDL/SYR O/S PREM,,M,,,85300,19960101,,*
1,35379,1,4149,BP,UNLIC NONRES DIST NDL/ETC,,M,SEL,,85300,19970101,,*
1,62199,1,4150(B),FG,TRAP FUR NONGM MAMMAL REC,,M,,,168100,20200101,,*
2,54206,1,4152.5,VC,FAIL REG FOREIGN VEH:CA,N,I,,,173300,19850701,,*
2,54207,1,4159,VC,FAIL NOTIFY DMV:ADD CHG,N,I,,,173300,19770101,,*
2,54323,1,4160,VC,FAIL CHANGE ADD ON REG,N,I,,,173300,19590918,,*
1,35381,1,4163,BP,FURN DANGERUS DRUG/DEVICE,,M,,,85420,19980101,,*
1,53071,1,4301,FA,SCALPING,,M,,,167600,19671108,,*
1,62037,1,4304,FG,WASTE GAME MAMMAL FLESH,,M,,,168100,19650917,,*
1,66229,1,4321(A),BP,KNWGLY VIOL PHARMACY PROV,,M,,,85420,19980101,,*
1,26398,1,4322,BP,FALSE REP REG PHARMACY,,M,,,171635,19970101,,*
1,35369,1,4323,BP,FALSE REP:DR/ETC:OBT DRUG,,M,,,91400,19970101,,*
1,35366,1,4324(A),BP,FORGE/ETC PRESCRIPTION,,F,,,58800,19970101,,*
1,35389,1,4324(A),BP,FORGE/ETC PRESCRIPTIONS,*,M,,,91400,19970101,,*
1,35368,1,4324(B),BP,GET DRUG BY FORGED PRESC,,F,,,58800,19970101,,*
1,35388,1,4324(B),BP,GET DRUG BY FORGED PRESC,*,M,,,91400,19970101,,*
1,35367,1,4325(A),BP,UNAUTH PRESCRIPTION BLANK,,M,,,84710,19970101,,*
2,35359,1,4326(A),BP,OBT HYPO NDL/SRYNGE:FRAUD,,M,,,85400,19970101,20201231,*
2,35360,1,4326(B),BP,MISUSE HYPO NEEDL/SYRINGE,,M,,,91200,19970101,20201231,*
1,31209,1,4327,BP,SELL/ETC DRUGS:UNDER INFL,,M,,,85420,19970101,,*
1,26399,1,4329,BP,MAN/ETC PHARM/ETC NO REG,,M,,,85420,19970101,,*
1,62059,1,4330,FG,TAKE DEER W/O LICENSE,,M,,,168100,19580101,,*
1,35407,1,4330(A),BP,OWNER:NON-PHARM DISP PRSC,,M,,,85420,19950101,,*
1,31183,1,4331(A),BP,UNAUTH GIVE DANG DEV/ETC,,M,,,85420,19970101,,*
1,35364,1,4332,BP,DANG DRUG/ETC RECORD VIOL,,M,,,84600,19970101,,*
1,62048,1,4336,FG,POSSESS UNTAGGED DEER,,M,,,168100,19570911,,*
1,35365,1,4336(A),BP,DANG DRUG:USE MNR:AGENT,,F,,,31400,19970101,,*
1,62107,1,4341,FG,DEER TAG NOT COUNTERSIGND,,M,,,168100,19610915,,*
1,20058,1,4421,PR,BURN LAND OF ANOTHER,,M,,,167700,19650917,,*
1,20037,1,4422(B),PR,ALLOW FIRE:ESCAPE/SPREAD,,M,,,167700,19650917,,*
2,55233,1,4423,PR,BURN W/O PERMIT,,M,,,176450,19650917,,*
1,20062,1,4435,PR,NEG:MAINT/OPR:CAUSE FIRE,,M,,,167700,19660101,,*
2,54208,1,4454(A),VC,NO REGISTRATION IN VEH,N,I,,,173300,19830101,,*
2,54227,1,4457,VC,LOST/ETC DMV REG/ETC VIOL,N,I,,,173300,19890101,,*
1,26545,1,4461(A),VC,IMPROP USE/ETC REG:UNAUTH,,M,,,115205,19970101,,*
1,26510,1,4461(B),VC,LOAN DISABL PLACRD:UNAUTH,,M,,,115205,19910101,,*
1,26511,1,4461(C),VC,DISPLY UNAUTH DISABL PLAC,,M,,,115205,19910101,,*
1,26634,1,4461(D),VC,USE VEH DISABL PLATE:PRKG,,M,,,115205,20100101,,*
2,54148,1,4462(A),VC,FAIL PROVIDE VEH REG:PO,N,I,,,173300,19670101,,*
2,25063,1,4462(B),VC,SHO ON VEH/GIV PO FLS DOC,N,I,,,173300,19670101,,*
1,54419,1,4462(C),VC,UNLAWF POSS VEH REG/ETC,,M,,,162050,19970101,,*
1,25065,1,4462.5,VC,SHO ON VEH/GIV PO FLS REG,,M,,,162200,19890101,,*
1,25053,1,4463(A)(1),VC,FORGE/ALTER VEH REG/ETC,,F,,,43000,19810101,,*
1,25098,1,4463(A)(1),VC,FORGE/ALTER VEH REG/ETC,*,M,,,100400,19810101,,*
1,25056,1,4463(A)(2),VC,UTER/ETC FAKE VEH REG/ETC,,F,,,43000,19830101,,*
1,25099,1,4463(A)(2),VC,UTER/ETC FAKE VEH REG/ETC,*,M,,,100400,19830101,,*
1,25079,1,4463(B)(1),VC,FORGE/ETC DISABLD PLACARD,,M,,,81700,19830101,,*
1,26512,1,4463(B)(2),VC,PASS/ETC FAKE DISABL PLAC,,M,,,81700,19830101,,*
1,26513,1,4463(B)(3),VC,FRAUD:POS/ETC DISABL PLAC,,M,,,81700,19830101,,*
1,26514,1,4463(C),VC,SHO/ETC DISABL PLAC:FRAUD,,M,,,81700,19830101,,*
2,25106,1,4463(E)(1),VC,FORGE/ETC CLEAN AIR STKER,N,I,,,173300,20090101,,*
2,25107,1,4463(E)(2),VC,PASS FALSE CLEAN AIR STKR,N,I,,,173300,20090101,,*
